CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST1000,Male,0,No,No,30,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.55,2047.01,No
CUST1001,Female,0,No,Yes,11,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,48.08,522.42,No
CUST1002,Female,1,No,No,17,No,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Electronic check,36.56,610.07,No
CUST1003,Female,0,Yes,No,26,Yes,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),79.72,2159.26,No
CUST1004,Male,0,Yes,Yes,23,Yes,No,Fiber optic,No internet service,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,70.42,1672.56,No
CUST1005,Male,0,Yes,No,56,Yes,Yes,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),66.3,3742.26,Yes
CUST1006,Male,0,Yes,No,52,Yes,No,DSL,No,No,No,No internet service,Yes,Yes,Month-to-month,No,Electronic check,64.46,3490.1,No
CUST1007,Female,0,Yes,Yes,48,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No internet service,Yes,Two year,Yes,Bank transfer (automatic),40.94,2041.05,No
CUST1008,Female,0,No,No,20,No,No,DSL,No,Yes,Yes,No internet service,No,No internet service,Two year,Yes,Electronic check,34.69,723.47,No
CUST1009,Female,0,Yes,Yes,2,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,54.66,106.28,No
CUST1010,Male,0,Yes,No,31,Yes,No,DSL,No,Yes,No,No,No internet service,No internet service,One year,Yes,Credit card (automatic),41.44,1312.58,No
CUST1011,Female,0,Yes,No,27,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),64.63,1764.07,No
CUST1012,Female,1,No,No,2,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Electronic check,53.25,108.99,No
